Time,aurn_co,SiteNumber,SiteName,Longitude,Latitude
2018-11-09,0.14,99,London N. Kensington,-0.213492,51.52105
2018-11-10,0.15,99,London N. Kensington,-0.213492,51.52105
2018-11-11,0.12,99,London N. Kensington,-0.213492,51.52105
2018-11-12,0.12,99,London N. Kensington,-0.213492,51.52105
2018-11-13,0.15,99,London N. Kensington,-0.213492,51.52105
2018-11-14,0.17,99,London N. Kensington,-0.213492,51.52105
2018-11-15,0.14,99,London N. Kensington,-0.213492,51.52105
2018-11-16,0.15,99,London N. Kensington,-0.213492,51.52105
2018-11-17,0.16,99,London N. Kensington,-0.213492,51.52105
2018-11-18,0.17,99,London N. Kensington,-0.213492,51.52105
2018-11-19,0.075,99,London N. Kensington,-0.213492,51.52105
2018-11-20,0.17,99,London N. Kensington,-0.213492,51.52105
2018-11-21,0.21,99,London N. Kensington,-0.213492,51.52105
2018-11-22,0.23,99,London N. Kensington,-0.213492,51.52105
2018-11-23,0.18,99,London N. Kensington,-0.213492,51.52105
2018-11-24,0.17,99,London N. Kensington,-0.213492,51.52105
2018-11-25,0.12,99,London N. Kensington,-0.213492,51.52105
2018-11-26,0.15,99,London N. Kensington,-0.213492,51.52105
2018-11-27,0.15,99,London N. Kensington,-0.213492,51.52105
2018-11-28,0.13,99,London N. Kensington,-0.213492,51.52105
2018-11-29,0.11,99,London N. Kensington,-0.213492,51.52105
2018-11-30,0.12,99,London N. Kensington,-0.213492,51.52105
2018-12-01,0.15,99,London N. Kensington,-0.213492,51.52105
2018-12-02,0.099,99,London N. Kensington,-0.213492,51.52105
2018-12-03,0.11,99,London N. Kensington,-0.213492,51.52105
2018-12-04,0.19,99,London N. Kensington,-0.213492,51.52105
2018-12-05,0.17,99,London N. Kensington,-0.213492,51.52105
2018-12-06,0.11,99,London N. Kensington,-0.213492,51.52105
2018-12-07,0.11,99,London N. Kensington,-0.213492,51.52105
2018-12-08,0.11,99,London N. Kensington,-0.213492,51.52105
2018-12-09,0.11,99,London N. Kensington,-0.213492,51.52105
2018-12-10,0.17,99,London N. Kensington,-0.213492,51.52105
2018-12-11,0.29,99,London N. Kensington,-0.213492,51.52105
2018-12-12,0.16,99,London N. Kensington,-0.213492,51.52105
2018-12-13,0.14,99,London N. Kensington,-0.213492,51.52105
2018-12-14,0.18,99,London N. Kensington,-0.213492,51.52105
2018-12-15,0.14,99,London N. Kensington,-0.213492,51.52105
2018-12-16,0.16,99,London N. Kensington,-0.213492,51.52105
2018-12-17,0.17,99,London N. Kensington,-0.213492,51.52105
2018-12-18,0.11,99,London N. Kensington,-0.213492,51.52105
2018-12-19,0.11,99,London N. Kensington,-0.213492,51.52105
2018-12-20,0.13,99,London N. Kensington,-0.213492,51.52105
2018-12-21,0.11,99,London N. Kensington,-0.213492,51.52105
2018-12-22,0.13,99,London N. Kensington,-0.213492,51.52105
2018-12-23,0.12,99,London N. Kensington,-0.213492,51.52105
2018-12-24,0.26,99,London N. Kensington,-0.213492,51.52105
2018-12-25,0.32,99,London N. Kensington,-0.213492,51.52105
2018-12-26,0.13,99,London N. Kensington,-0.213492,51.52105
2018-12-27,0.45,99,London N. Kensington,-0.213492,51.52105
2018-12-28,0.44,99,London N. Kensington,-0.213492,51.52105
2018-12-29,0.22,99,London N. Kensington,-0.213492,51.52105
2018-12-30,0.15,99,London N. Kensington,-0.213492,51.52105
2018-12-31,0.11,99,London N. Kensington,-0.213492,51.52105
2019-01-01,0.12,99,London N. Kensington,-0.213492,51.52105
2019-01-02,0.11,99,London N. Kensington,-0.213492,51.52105
2019-01-03,0.15,99,London N. Kensington,-0.213492,51.52105
2019-01-04,0.14,99,London N. Kensington,-0.213492,51.52105
2019-01-05,0.16,99,London N. Kensington,-0.213492,51.52105
2019-01-06,0.14,99,London N. Kensington,-0.213492,51.52105
2019-01-07,0.16,99,London N. Kensington,-0.213492,51.52105
2019-01-08,0.12,99,London N. Kensington,-0.213492,51.52105
2019-01-09,0.12,99,London N. Kensington,-0.213492,51.52105
2019-01-10,0.22,99,London N. Kensington,-0.213492,51.52105
2019-01-11,0.16,99,London N. Kensington,-0.213492,51.52105
2019-01-12,0.12,99,London N. Kensington,-0.213492,51.52105
2019-01-13,0.12,99,London N. Kensington,-0.213492,51.52105
2019-01-14,0.13,99,London N. Kensington,-0.213492,51.52105
2019-01-15,0.11,99,London N. Kensington,-0.213492,51.52105
2019-01-16,0.14,99,London N. Kensington,-0.213492,51.52105
2019-01-17,0.19,99,London N. Kensington,-0.213492,51.52105
2019-01-18,0.22,99,London N. Kensington,-0.213492,51.52105
2019-01-19,0.16,99,London N. Kensington,-0.213492,51.52105
2019-01-20,0.23,99,London N. Kensington,-0.213492,51.52105
2019-01-21,0.41,99,London N. Kensington,-0.213492,51.52105
2019-01-22,0.18,99,London N. Kensington,-0.213492,51.52105
2019-01-23,0.27,99,London N. Kensington,-0.213492,51.52105
2019-01-24,0.38,99,London N. Kensington,-0.213492,51.52105
2019-01-25,0.17,99,London N. Kensington,-0.213492,51.52105
2019-01-26,0.12,99,London N. Kensington,-0.213492,51.52105
2019-01-27,0.11,99,London N. Kensington,-0.213492,51.52105
2019-01-28,0.18,99,London N. Kensington,-0.213492,51.52105
2019-01-29,0.19,99,London N. Kensington,-0.213492,51.52105
2019-01-30,0.27,99,London N. Kensington,-0.213492,51.52105
2019-01-31,0.42,99,London N. Kensington,-0.213492,51.52105
2019-02-01,0.15,99,London N. Kensington,-0.213492,51.52105
2019-02-02,0.1,99,London N. Kensington,-0.213492,51.52105
2019-02-03,0.17,99,London N. Kensington,-0.213492,51.52105
2019-02-04,0.23,99,London N. Kensington,-0.213492,51.52105
2019-02-05,0.13,99,London N. Kensington,-0.213492,51.52105
2019-02-06,0.15,99,London N. Kensington,-0.213492,51.52105
2019-02-07,0.12,99,London N. Kensington,-0.213492,51.52105
2019-02-08,0.11,99,London N. Kensington,-0.213492,51.52105
2019-02-09,0.11,99,London N. Kensington,-0.213492,51.52105
2019-02-10,0.1,99,London N. Kensington,-0.213492,51.52105
2019-02-11,0.17,99,London N. Kensington,-0.213492,51.52105
2019-02-12,0.25,99,London N. Kensington,-0.213492,51.52105
2019-02-13,0.14,99,London N. Kensington,-0.213492,51.52105
2019-02-14,0.24,99,London N. Kensington,-0.213492,51.52105
2019-02-15,0.22,99,London N. Kensington,-0.213492,51.52105
2019-02-16,0.15,99,London N. Kensington,-0.213492,51.52105
2019-02-17,0.13,99,London N. Kensington,-0.213492,51.52105
2019-02-18,0.11,99,London N. Kensington,-0.213492,51.52105
2019-02-19,0.13,99,London N. Kensington,-0.213492,51.52105
2019-02-20,0.11,99,London N. Kensington,-0.213492,51.52105
2019-02-21,0.11,99,London N. Kensington,-0.213492,51.52105
2019-02-22,0.25,99,London N. Kensington,-0.213492,51.52105
2019-02-23,0.22,99,London N. Kensington,-0.213492,51.52105
2019-02-24,0.31,99,London N. Kensington,-0.213492,51.52105
